experiment,architecture,activation,optimizer,seq_length,gradient_clipping,test_accuracy,test_f1_score,time_per_epoch,test_loss,train_accuracy,val_accuracy,train_loss,val_loss
BiLSTM_tanh_adam_100_clip,Bidirectional_LSTM,tanh,adam,100,True,0.8258399963378906,0.8256533447498439,24.336307191848753,0.3861740529537201,0.9639000296592712,0.7928000092506409,0.09894056618213654,0.6126123070716858
BiLSTM_tanh_rmsprop_100_clip,Bidirectional_LSTM,tanh,rmsprop,100,True,0.8225600123405457,0.822535457079629,27.04154779911041,0.39768850803375244,0.9200500249862671,0.8073999881744385,0.20883503556251526,0.4920555055141449
BiLSTM_sigmoid_adam_100_clip,Bidirectional_LSTM,sigmoid,adam,100,True,0.8216000199317932,0.8210323248429399,28.898553013801575,0.39425450563430786,0.9404500126838684,0.7897999882698059,0.172700896859169,0.5725857615470886
LSTM_tanh_rmsprop_100_clip,LSTM,tanh,rmsprop,100,True,0.8212400078773499,0.8211738025474099,23.278980207443237,0.39708709716796875,0.9186999797821045,0.8044000267982483,0.22248920798301697,0.4478386342525482
RNN_relu_rmsprop_100_clip,RNN,relu,rmsprop,100,True,0.8212000131607056,0.8209270710810594,17.47146532535553,0.3958614468574524,0.861050009727478,0.7857999801635742,2269183.5,0.48466581106185913
LSTM_tanh_adam_100_clip,LSTM,tanh,adam,100,True,0.8205599784851074,0.8205482842435045,20.812393617630004,0.4188964366912842,0.962149977684021,0.7900000214576721,0.11365710198879242,0.6232578158378601
LSTM_sigmoid_adam_100_clip,LSTM,sigmoid,adam,100,True,0.8195199966430664,0.8195145005346371,24.335693407058717,0.398804634809494,0.9390000104904175,0.79339998960495,0.17872454226016998,0.5800792574882507
RNN_relu_rmsprop_100_noclip,RNN,relu,rmsprop,100,False,0.8125200271606445,0.8116583048017163,21.15363690853119,0.42342105507850647,0.9111999869346619,0.8009999990463257,0.34205082058906555,0.48893511295318604
LSTM_relu_adam_100_clip,LSTM,relu,adam,100,True,0.8021600246429443,0.8018641733833243,24.185005593299866,0.45332393050193787,0.9060500264167786,0.7906000018119812,31.7088680267334,0.5061260461807251
RNN_relu_adam_100_noclip,RNN,relu,adam,100,False,0.7846400141716003,0.7818002952783452,17.282836413383485,0.4551768898963928,0.901449978351593,0.7698000073432922,0.25797924399375916,0.5467798113822937
